2022-05-16 12:05:80 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> id: Email]
2022-05-16 12:05:131 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> name: Password]
2022-05-16 12:05:494 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 12:05:518 INFO  LoginPage :67 - Display error message[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 12:05:142 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 12:05:79 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> link text: Log in]
2022-05-16 12:05:150 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> id: Email]
2022-05-16 12:05:199 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> name: Password]
2022-05-16 12:05:565 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 12:05:591 INFO  LoginPage :67 - Display error message[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 12:05:205 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 12:05:897 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> link text: Log in]
2022-05-16 12:05:960 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> id: Email]
2022-05-16 12:05:11 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> name: Password]
2022-05-16 12:05:388 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 12:05:415 INFO  LoginPage :67 - Display error message[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 13:05:320 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:485 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (840456bbce6ebc0289e375f8cc3b8cf7)] -> link text: Log in]
2022-05-16 13:05:544 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (840456bbce6ebc0289e375f8cc3b8cf7)] -> id: Email]
2022-05-16 13:05:594 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (840456bbce6ebc0289e375f8cc3b8cf7)] -> name: Password]
2022-05-16 13:05:739 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:386 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (8d5e41bb00414bb61a780cc23859e14e)] -> link text: Log in]
2022-05-16 13:05:439 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (8d5e41bb00414bb61a780cc23859e14e)] -> id: Email]
2022-05-16 13:05:495 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (8d5e41bb00414bb61a780cc23859e14e)] -> name: Password]
2022-05-16 13:05:783 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:428 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (a36fc59c89ae244f9304c7669f8df872)] -> link text: Log in]
2022-05-16 13:05:500 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (a36fc59c89ae244f9304c7669f8df872)] -> id: Email]
2022-05-16 13:05:550 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (a36fc59c89ae244f9304c7669f8df872)] -> name: Password]
2022-05-16 13:05:907 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (a36fc59c89ae244f9304c7669f8df872)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 13:05:701 INFO  HomePage :75 - Log out link is displayProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Log out']'
2022-05-16 13:05:513 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:215 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> link text: Register]
2022-05-16 13:05:365 INFO  RegisterPage :95 - Enter First Name[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> id: FirstName]
2022-05-16 13:05:431 INFO  RegisterPage :100 - Enter last Name[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> id: LastName]
2022-05-16 13:05:617 INFO  RegisterPage :107 - Select date of Birth[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> name: DateOfBirthDay][[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> name: DateOfBirthMonth][[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> name: DateOfBirthYear]
2022-05-16 13:05:682 INFO  RegisterPage :112 - Enter email[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> name: Email]
2022-05-16 13:05:739 INFO  RegisterPage :117 - Enter password[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> id: Password]
2022-05-16 13:05:786 INFO  RegisterPage :122 - Enter confirm password[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> id: ConfirmPassword]
2022-05-16 13:05:524 INFO  RegisterPage :127 - Click on register button[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> css selector: #register-button]
2022-05-16 13:05:550 INFO  RegisterPage :143 - Register completed text[[ChromeDriver: chrome on WINDOWS (799b391782d1874cb13b0d44f95df9ff)] -> css selector: .result]
2022-05-16 13:05:673 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:597 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (7baf033d0bf50102ad1ff19eee3277f8)] -> link text: Log in]
2022-05-16 13:05:655 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (7baf033d0bf50102ad1ff19eee3277f8)] -> id: Email]
2022-05-16 13:05:705 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (7baf033d0bf50102ad1ff19eee3277f8)] -> name: Password]
2022-05-16 13:05:293 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (7baf033d0bf50102ad1ff19eee3277f8)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 13:05:310 INFO  HomePage :75 - Log out link is display[[ChromeDriver: chrome on WINDOWS (7baf033d0bf50102ad1ff19eee3277f8)] -> xpath: //a[normalize-space()='Log out']]
2022-05-16 13:05:563 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:242 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (aecc63c36b0468beedacfa9026dd962f)] -> link text: Log in]
2022-05-16 13:05:301 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (aecc63c36b0468beedacfa9026dd962f)] -> id: Email]
2022-05-16 13:05:352 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (aecc63c36b0468beedacfa9026dd962f)] -> name: Password]
2022-05-16 13:05:765 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:747 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (4371e1d5bd378141a7c252c8926ea79e)] -> link text: Log in]
2022-05-16 13:05:809 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (4371e1d5bd378141a7c252c8926ea79e)] -> id: Email]
2022-05-16 13:05:859 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (4371e1d5bd378141a7c252c8926ea79e)] -> name: Password]
2022-05-16 13:05:438 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (4371e1d5bd378141a7c252c8926ea79e)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 13:05:456 INFO  HomePage :75 - Log out link is display[[ChromeDriver: chrome on WINDOWS (4371e1d5bd378141a7c252c8926ea79e)] -> xpath: //a[normalize-space()='Log out']]
2022-05-16 13:05:782 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:452 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (563152178df642d8f7d5c5b2ef3653c1)] -> link text: Log in]
2022-05-16 13:05:513 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (563152178df642d8f7d5c5b2ef3653c1)] -> id: Email]
2022-05-16 13:05:566 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (563152178df642d8f7d5c5b2ef3653c1)] -> name: Password]
2022-05-16 13:05:693 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 13:05:407 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (b951354ccc54ca409bda57ee065f728e)] -> link text: Log in]
2022-05-16 13:05:467 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (b951354ccc54ca409bda57ee065f728e)] -> id: Email]
